User_Id	module	dataset	intervnrday	elecdist	geoarea	urban	polintr	pltrust	mimpissue17_10	simpissue17_10	mimptask17_10	mipmtaskprt	pidsupport1	pidsupport3	prtcls	prtclsorig	peoplimp	voteimp	civicvote	prtreflopin	prtreflopinbest	govprfmBB	Eumship	envirimp	gincdif	ceqvote	taxreduc	capicntry	privhealth	imueclt	genconsind	icenatoint	icenato	acrproimp	gndeqsal	govequal	referendcha	democr	pltscrpbribe	pltscrp	repdemocr	persvote	prtimp	govcollapse	prtfeel_S	prtfeel_B	prtfeel_D	prtfeel_V	prtfeel_P	prtfeel_C	prtfeel_M	prtfeel_FF	ldrfeel_LE	ldrfeel_SIJ	ldrfeel_BB	ldrfeel_KJ	ldrfeel_TSA	ldrfeel_TKG	ldrfeel_SDG	ldrfeel_IS	lrscale_S	lrscale_B	lrscale_D	lrscale_V	lrscale_P	lrscale_C	lrscale_M	lrscale_FF	lrscale	pidclose1	pidclose2	pidclose3	pidsymp1	pidsymp2	pidsymp3	mmbprt	mmbprt_S	mmbprt_B	mmbprt_D	mmbprt_V	mmbprt_A	mmbprt_P	mmbprt_C	mmbprt_M	mmbprt_F	mmbprt_T	mmbprt_R	vote17	prtvote17	ifprtvote17	candordch	hldecvote	fvote16	prtfvote16	bprteco	bprtimm	bprteurope	bprtfamily	bprtisencit	bprthealth	bprtenvir	bprtregpol	bprtedu	bprtequal	bprthouse	forcurr	priceindex	mediause	ecobettwors_1	undpolis	compromise	polcare	poltrust	polprob	strlead	poldecpub	polcarerich	minicetrd	majmin	immeco	immcult	immcrime	iceborn	iceance	icespeak	icetrad	gender	yob	age	finworry	rentown	pjob	njob	emplstatus	mainjobflo	uniwindw	govpriv	education	unmmb	maritals	incomecate	hinctntyearcate	hhmmb	childs	race	cntrybrncat	cntrybrnpar	languagecat	church	rlgatnd	elecday	elecmonth	elecyear	distseat
201710291888	"B2"	"ICENES2017"	33	1	6	2	3	95	98	96	6	4	5	95	5	95	3	4	95	8	96	2	4	1	3	95	3	3	3	5	5	8	9	3	1	2	5	2	2	95	95	95	95	95	6	6	5	7	3	5	5	5	96	5	6	8	96	7	6	96	6	98	7	98	2	98	6	98	3	2	0	96	1	1	4	5	5	5	5	5	5	5	5	5	5	5	5	2	0	4	5	5	6	95	98	98	98	98	98	98	4	98	98	3	98	4	4	4	2	2	8	8	3	2	2	2	3	1	3	2	4	2	2	3	2	2	"Karl"	1999	18	8	4	1	96	98	50	1	2	4	1	3	1	1	2	0	1	1	1	1	90	1	28	10	2017	10
201710291909	"B2"	"ICENES2017"	3	6	1	4	1	95	2	2	6	6	5	95	5	95	5	5	95	2	96	4	8	1	1	95	5	3	5	5	5	1	2	8	2	2	5	4	2	95	95	95	95	95	8	3	0	7	8	3	0	0	8	3	0	8	8	5	0	0	3	7	8	3	2	7	8	6	1	2	0	96	1	2	6	5	5	5	5	5	5	5	5	5	5	5	5	1	1	96	5	5	1	6	1	6	1	1	4	4	6	98	6	6	1	2	8	2	2	2	4	4	4	2	5	2	8	2	5	1	5	5	4	4	3	8	"Karl"	1958	58	5	1	1	96	1	10	1	1	8	1	1	4	4	2	0	1	1	1	1	1	1	28	10	2017	11
201710291947	"B1"	"ICENES2017"	12	6	1	4	1	3	95	95	6	4	1	1	6	96	5	5	5	1	97	3	95	95	95	1	95	95	95	95	95	5	5	95	95	1	4	3	3	2	2	4	1	2	8	2	3	9	6	4	0	2	8	4	1	10	7	5	0	3	3	7	10	1	3	8	9	7	2	1	2	4	6	6	96	1	1	2	2	1	2	2	2	2	2	2	2	1	1	96	2	2	1	4	95	95	95	95	95	95	95	95	95	95	95	95	95	2	2	2	4	4	4	5	5	4	4	2	5	2	5	5	3	3	2	3	"Karl"	1941	75	4	1	1	96	2	20	3	2	8	1	4	1	1	1	0	1	1	1	1	1	3	28	10	2017	11
201710291957	"B1"	"ICENES2017"	43	7	1	4	2	2	95	95	6	4	1	4	6	96	5	5	5	1	4	3	95	95	95	4	95	95	95	95	95	5	5	95	95	1	4	3	3	3	4	4	2	1	9	3	2	9	5	3	2	3	9	7	3	10	7	5	3	96	1	5	9	0	2	8	5	5	0	1	2	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	4	96	2	5	1	1	95	95	95	95	95	95	95	95	95	95	95	95	95	1	3	2	4	5	4	5	2	4	5	2	5	1	5	4	3	3	1	3	"Kona"	1949	68	5	1	1	96	1	20	1	1	8	1	1	7	7	2	0	1	1	1	1	1	3	28	10	2017	11
201710292014	"B1"	"ICENES2017"	51	7	1	4	3	2	95	95	6	4	1	4	6	96	4	5	4	1	4	2	95	95	95	3	95	95	95	95	95	5	5	95	95	2	3	2	3	3	4	4	3	3	9	4	5	9	8	5	4	4	7	7	4	8	7	7	2	5	4	6	9	2	5	6	8	4	3	1	2	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	1	96	2	3	1	5	95	95	95	95	95	95	95	95	95	95	95	95	95	2	3	2	4	4	2	4	4	3	4	3	4	2	4	4	3	4	2	3	"Kona"	1969	48	4	1	1	96	1	20	1	1	8	1	1	5	5	5	0	1	1	1	1	1	2	28	10	2017	11
201710292025	"B1"	"ICENES2017"	89	7	1	4	3	3	95	95	6	4	2	96	1	4	4	5	4	1	4	8	95	95	95	2	95	95	95	95	95	5	5	95	95	9	8	9	9	1	9	9	9	9	6	6	3	8	2	3	0	3	7	6	2	9	2	4	0	5	99	99	99	99	99	99	99	99	99	9	9	99	9	9	99	9	9	9	9	9	9	9	9	9	9	9	9	9	99	99	9	9	9	99	95	95	95	95	95	95	95	95	95	95	95	95	95	9	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	"Kona"	1984	33	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	11
201710292033	"B1"	"ICENES2017"	20	5	1	3	2	5	95	95	6	1	2	96	2	96	3	3	4	2	96	3	95	95	95	1	95	95	95	95	95	5	5	95	95	2	3	2	2	2	1	2	4	4	5	4	3	5	2	2	1	6	3	5	2	4	1	1	1	1	3	5	7	3	2	4	5	4	5	2	0	96	2	0	96	2	2	2	2	2	2	2	2	2	2	2	2	1	3	96	2	4	1	1	95	95	95	95	95	95	95	95	95	95	95	95	95	4	3	4	1	4	4	4	2	2	1	1	4	4	4	1	2	3	1	2	"Karl"	1974	43	2	2	1	96	1	90	2	2	5	1	3	2	2	1	0	1	1	1	1	90	1	28	10	2017	13
201710292058	"B1"	"ICENES2017"	24	5	1	3	1	3	95	95	6	4	1	4	6	96	5	5	5	1	4	3	95	95	95	1	95	95	95	95	95	5	5	95	95	1	4	3	3	2	5	4	2	2	7	3	1	8	6	5	0	5	8	5	0	10	7	5	0	5	4	5	10	2	5	6	9	7	3	1	2	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	4	96	2	5	1	4	95	95	95	95	95	95	95	95	95	95	95	95	95	1	2	2	4	4	4	4	5	2	4	2	5	2	4	4	3	3	2	2	"Karl"	1952	65	3	1	1	96	1	50	1	1	5	1	5	3	3	3	0	1	1	1	1	90	1	28	10	2017	13
201710292203	"B2"	"ICENES2017"	39	5	1	3	3	95	3	6	6	98	5	95	5	95	5	5	95	1	5	2	2	1	1	95	4	2	4	3	2	2	6	4	3	2	5	2	4	95	95	95	95	95	98	98	0	98	98	98	98	98	96	96	0	96	96	96	0	96	98	98	98	98	98	98	98	98	3	2	0	96	2	0	96	5	5	5	5	5	5	5	5	5	5	5	5	1	5	96	5	5	6	95	98	6	98	98	98	98	98	98	98	98	98	2	2	2	8	4	2	4	4	3	4	3	4	3	4	3	3	3	3	3	2	2	"Karl"	1999	18	5	3	2	6	6	99	6	6	4	6	3	8	8	4	2	1	1	1	1	1	2	28	10	2017	13
201710292242	"B2"	"ICENES2017"	73	7	1	4	4	95	97	96	6	4	5	95	5	95	3	4	95	2	96	2	4	1	2	95	5	3	5	5	4	2	6	3	3	2	5	2	3	95	95	95	95	95	5	3	4	6	4	6	3	96	6	4	4	7	96	7	4	5	5	8	8	1	3	4	96	5	3	2	0	96	1	2	4	5	5	5	5	5	5	5	5	5	5	5	5	1	8	96	5	5	1	4	98	1	98	98	4	4	4	98	1	8	3	4	3	3	2	2	4	4	2	4	4	2	4	2	4	2	5	5	3	3	2	3	"Kona"	1996	21	4	3	1	96	2	90	1	2	7	1	3	1	1	4	0	1	1	1	1	1	3	28	10	2017	11
