"","X1","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"31266",31266,42.16,"Íbúðareign",106.4,0,3,1,320,"Kópavogur: Austurbær"
"31267",31267,34.63,"Íbúðareign",80.7,0,2,1,500,"Garðabær"
"31268",31268,34.56,"Íbúðareign",104.4,1,3,1,630,"Hafnarfjörður - Vellir"
"31269",31269,31.14,"Íbúðareign",77.2,0,2,1,100,"Laugarneshverfi/Vogar"
"31270",31270,53.46,"Íbúðareign",152.4,1,3,1,550,"Garðabær: Urriðaholt"
"31271",31271,40.44,"Íbúðareign",130.7,1,3,1,351,"Kópavogur: Kórar"
"31272",31272,31.12,"Íbúðareign",95.1,0,2,1,351,"Kópavogur: Kórar"
"31273",31273,40.44,"Íbúðareign",130.7,1,3,1,351,"Kópavogur: Kórar"
"31274",31274,33.3,"Íbúðareign",95.1,1,2,1,351,"Kópavogur: Kórar"
"31275",31275,32.58,"Íbúðareign",109,0,4,1,320,"Kópavogur: Austurbær"
"31276",31276,42.2,"Íbúðareign",159.1,0,4,1,351,"Kópavogur: Kórar"
"31277",31277,42.28,"Íbúðareign",112.8,1,3,1,320,"Kópavogur: Austurbær"
"31278",31278,80.32,"Einbýlishús",275.7,0,6,3,351,"Kópavogur: Kórar"
"31279",31279,28.2,"Íbúðareign",57.6,1,1,1,600,"Hafnarfjörður"
"31280",31280,61.7,"Íbúðareign",146.1,1,3,1,600,"Hafnarfjörður"
"31281",31281,57.54,"Raðhús",165.3,0,4,2,850,"Mosfellsbær: Helgafell"
"31282",31282,37.46,"Íbúðareign",100.2,1,3,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"31283",31283,26.55,"Íbúðareign",61.5,0,1,1,630,"Hafnarfjörður - Vellir"
"31284",31284,58.96,"Raðhús",133,0,3,1,351,"Kópavogur: Kórar"
"31285",31285,37.29,"Íbúðareign",106.5,0,3,1,351,"Kópavogur: Kórar"
"31286",31286,15.62,"Íbúðareign",101.1,0,3,1,2050,"Keflavík"
"31287",31287,37.83,"Íbúðareign",100.2,1,3,1,270,"Norðlingaholt"
"31288",31288,39.18,"Íbúðareign",100.8,1,2,1,600,"Hafnarfjörður"
"31289",31289,40.56,"Einbýlishús",147.2,0,5,1,6040,"Akureyri: Glerárhverfi"
"31290",31290,34.11,"Raðhús",150.5,0,2,1,6040,"Akureyri: Glerárhverfi"
"31291",31291,12.9,"Íbúðareign",121.2,0,3,1,2050,"Keflavík"
"31292",31292,40.1,"Einbýlishús",135.6,0,4,1,2050,"Keflavík"
