"";"User_Id";"dataset";"intervnrday";"mode";"elecdist";"geoarea";"urban";"polintr";"pltrust";"mipmtaskprt";"medtime";"medium";"pidsupport1";"prtcls";"pidsupport3";"voteimp";"civicvote";"pltscrp";"govprfm";"govprfmCov";"ecobettwors_1";"Eumship";"envirimp";"gincdif";"taxreduc";"capicntry";"ceqvote";"privhealth";"imueclt";"essfull";"prnsoci";"sevpun";"femfight";"genconsind";"acrproimp";"drugpol";"femequal";"referendcha";"prtfeel_FF";"prtfeel_B";"prtfeel_M";"prtfeel_P";"prtfeel_S";"prtfeel_D";"prtfeel_C";"prtfeel_V";"prtfeel_J";"ldrfeel_IS";"ldrfeel_SIJ";"ldrfeel_SDG";"ldrfeel_HM";"ldrfeel_LE";"ldrfeel_BB";"ldrfeel_TKG";"ldrfeel_KJ";"ldrfeel_GSE";"lrscale_FF";"lrscale_B";"lrscale_M";"lrscale_P";"lrscale_S";"lrscale_D";"lrscale_C";"lrscale_V";"lrscale_J";"lrscale";"democr";"pidclose1";"pidsymp1";"pidsymp3";"prthwcls";"mmbprt_0";"mmbprt_O";"mmbprt_Y";"mmbprt_F";"mmbprt_B";"mmbprt_J";"mmbprt_M";"mmbprt_P";"mmbprt_S";"mmbprt_D";"mmbprt_C";"mmbprt_V";"vote21";"votesat";"nvotesat";"votevar";"votefair";"hldecvote";"fvote17";"bprteco";"bprtimm";"bprteurope";"bprtfamily";"bprtisencit";"bprthealth";"bprtenvir";"bprtregpol";"bprtedu";"bprtequal";"bprthouse";"medruv";"medchtwo";"medradio";"medpaper";"medweb";"podcast";"medsoc";"medsocfre";"inteff";"dembest";"courts";"leadrul";"femrep";"leadbus";"leadexp";"leadciti";"demqual";"trustparl";"trustgov";"trustjud";"trustexp";"trustprt";"trustmed";"trustsocmed";"femrep.0";"covgen";"ecogen";"healthc";"covsoc";"covdem";"covfin";"covsick";"finworry";"rentown";"pjob";"uniwindw";"govpriv";"unmmb";"maritals";"hhmmb";"childs";"race";"gender";"yob";"mainjobflo";"educationflo";"incomecate";"church";"prtclsorig";"cntrybrncat";"languagecat";"hinctntyearcate";"rlgatnd";"elecday";"elecmonth";"elecyear";"distseat"
"2048";202109252048;"ICENES2021";170;2;4;2;2;3;4;995;2;2;2;2;996;995;995;2;3;2;4;3;4;2;995;995;2;4;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;6;3;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;1;8;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;1;4;1;2;995;2;2;2;996;"Kona";1998;50;10;997;1;996;996;996;997;1;25;9;2021;10
"2049";202109252049;"ICENES2021";170;2;4;8;2;4;4;995;2;2;2;2;996;995;995;2;2;2;3;3;2;4;995;995;1;4;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;2;995;995;995;995;995;0;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;3;2;995;1;5;3;996;"Karl";1972;996;70;997;90;996;996;996;997;1;25;9;2021;10
"2050";202109252050;"ICENES2021";170;2;1;6;2;3;3;1;2;2;2;2;996;995;995;2;2;1;4;3;2;1;995;995;2;2;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;6;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;1;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;3;2;995;1;4;1;996;"Karl";1970;996;40;2;1;996;996;996;2;1;25;9;2021;10
"2051";202109252051;"ICENES2021";170;2;4;8;2;4;5;11;2;2;2;997;996;995;995;2;3;2;4;3;2;3;995;995;2;2;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;997;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;3;989;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;1;0;1;1;995;2;3;1;996;"Kona";1989;50;30;3;4;996;996;996;3;2;25;9;2021;10
"2052";202109252052;"ICENES2021";171;2;1;6;2;4;3;998;1;996;2;1;996;995;995;2;2;2;3;998;2;3;995;995;998;4;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;7;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;2;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;1;2;995;1;6;4;996;"Karl";1974;10;70;5;1;2;996;996;5;1;25;9;2021;10
"2053";202109252053;"ICENES2021";172;2;5;1;3;2;2;1;4;1;1;995;1;995;995;2;2;2;2;1;2;2;995;995;2;5;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;2;995;995;995;995;0;0;0;0;0;0;0;0;1;0;0;0;1;995;995;995;995;5;1;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;1;0;1;1;995;1;3;0;996;"Kona";1965;90;20;3;1;996;996;996;3;2;25;9;2021;13
"2054";202109252054;"ICENES2021";173;2;2;5;1;2;3;11;5;1;1;995;997;995;995;1;2;2;4;4;2;2;995;995;1;3;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;7;3;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;2;989;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;1;0;1;2;995;1;5;3;996;"Karl";1972;60;40;997;1;996;996;996;997;2;25;9;2021;8
"2055";202109252055;"ICENES2021";173;2;4;8;2;2;4;12;3;2;1;995;12;995;995;1;3;4;4;3;1;1;995;995;5;5;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;995;995;995;995;0;0;0;0;0;1;0;0;0;0;0;0;1;995;995;995;995;5;6;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;0;1;1;995;3;3;0;996;"Karl";1997;50;10;997;90;996;996;996;997;1;25;9;2021;10
"2056";202109252056;"ICENES2021";174;2;4;8;2;2;3;995;3;2;2;1;996;995;995;1;3;3;4;5;2;2;995;995;4;5;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;2;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;1;0;1;1;995;1;6;4;996;"Kona";1987;50;70;4;1;4;996;996;4;2;25;9;2021;10
"2057";202109252057;"ICENES2021";175;2;2;3;2;3;2;2;3;2;2;1;996;995;995;3;1;1;2;4;2;2;995;995;4;4;5;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;6;2;995;995;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;2;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;1;2;995;1;4;2;996;"Karl";1978;10;80;5;1;2;996;996;5;3;25;9;2021;8
